Adj Close,Date
1.1486,11/11/2021
1.1451,11/12/2021
1.1442,11/15/2021
1.1366,11/16/2021
1.1321,11/17/2021
1.1321,11/18/2021
1.1368,11/19/2021
1.1276,11/22/2021
1.1242,11/23/2021
1.1245,11/24/2021
1.1203,11/25/2021
1.121,11/26/2021
1.1293,11/29/2021
1.1293,11/30/2021
1.133,12/1/2021
1.132,12/2/2021
1.1306,12/3/2021
1.1305,12/6/2021
1.1287,12/7/2021
1.1277,12/8/2021
1.1346,12/9/2021
1.1293,12/10/2021
1.1312,12/13/2021
1.1285,12/14/2021
1.1261,12/15/2021
1.1291,12/16/2021
1.1334,12/17/2021
1.1244,12/20/2021
1.1278,12/21/2021
1.1288,12/22/2021
1.1329,12/23/2021
1.1327,12/24/2021
1.1324,12/27/2021
1.133,12/28/2021
1.1315,12/29/2021
1.136,12/30/2021
1.1325,12/31/2021
1.1373,1/3/2022
1.1302,1/4/2022
1.1284,1/5/2022
1.1313,1/6/2022
1.1297,1/7/2022
1.1354,1/10/2022
1.133,1/11/2022
1.1366,1/12/2022
1.1442,1/13/2022
1.1457,1/14/2022
1.1411,1/17/2022
1.1411,1/18/2022
1.133,1/19/2022
1.1343,1/20/2022
1.1314,1/21/2022
1.1341,1/24/2022
1.1324,1/25/2022
1.1305,1/26/2022
1.1244,1/27/2022
1.1147,1/28/2022
1.1152,1/31/2022
1.123,2/1/2022
1.1274,2/2/2022
1.13,2/3/2022
1.1436,2/4/2022
1.1455,2/7/2022
1.1443,2/8/2022
1.1421,2/9/2022
1.1422,2/10/2022
1.1416,2/11/2022
1.1365,2/14/2022
1.1306,2/15/2022
1.1357,2/16/2022
1.1375,2/17/2022
1.1366,2/18/2022
1.1317,2/21/2022
1.131,2/22/2022
1.1329,2/23/2022
1.1306,2/24/2022
1.1191,2/25/2022
1.1181,2/28/2022
1.1216,3/1/2022
1.1133,3/2/2022
1.1112,3/3/2022
1.1067,3/4/2022
1.0875,3/7/2022
1.0865,3/8/2022
1.0898,3/9/2022
1.1074,3/10/2022
1.1014,3/11/2022
1.0932,3/14/2022
1.0943,3/15/2022
1.0969,3/16/2022
1.1022,3/17/2022
1.11,3/18/2022
1.1043,3/21/2022
1.1017,3/22/2022
1.103,3/23/2022
1.1006,3/24/2022
1.101,3/25/2022
1.0982,3/28/2022
1.0994,3/29/2022
1.1092,3/30/2022
1.1162,3/31/2022
1.1072,4/1/2022
1.1047,4/4/2022
1.0976,4/5/2022
1.0906,4/6/2022
1.0898,4/7/2022
1.0865,4/8/2022
1.0885,4/11/2022
1.0878,4/12/2022
1.0826,4/13/2022
1.0897,4/14/2022
1.0821,4/15/2022
1.0815,4/18/2022
1.0782,4/19/2022
1.0794,4/20/2022
1.085,4/21/2022
1.0835,4/22/2022
1.0811,4/25/2022
1.0714,4/26/2022
1.0644,4/27/2022
1.0555,4/28/2022
1.0504,4/29/2022
1.0536,5/2/2022
1.0509,5/3/2022
1.0529,5/4/2022
1.0622,5/5/2022
1.0559,5/6/2022
